Chr	Start	End	ID	normal-58-ch17	normal-X5-ch17	normal-X7-ch17	normal-X2-ch17	normal-X5l-ch17
17 	 618874 	 618974 	 VPS53	265129.877486	267481.68189	295343.869554	293443.630876	286817.70722
17 	 618974 	 619054 	 VPS53	378412.643321	328870.920356	352581.053576	335364.149572	367327.940825
17 	 3765450 	 3765550 	 CAMKK1	154257.383265	188552.661004	178580.014149	190971.25184	191211.804813
17 	 3765550 	 3765630 	 CAMKK1	286822.322007	331063.393159	247264.634976	298101.466287	311977.155221
17 	 3769131 	 3769231 	 CAMKK1	274770.96394	306946.192332	249554.122336	272483.371528	244046.645617
17 	 3769231 	 3769331 	 CAMKK1	282001.77878	339833.284368	279317.458028	295772.548581	274237.983219
17 	 3769331 	 3769371 	 CAMKK1	149436.840038	181975.242597	167132.577345	165353.157081	203791.528814
17 	 3772724 	 3772824 	 CAMKK1	269950.420713	291598.882716	242685.660254	302759.301697	274237.983219
17 	 3772824 	 3772924 	 CAMKK1	226565.53167	238979.535459	235817.198171	286456.87776	228950.976816
17 	 3772924 	 3772964 	 CAMKK1	118103.309062	151280.623364	144237.703736	139735.062322	138376.964009
17 	 3773048 	 3773148 	 CAMKK1	209693.630375	269674.154692	267870.021224	221247.18201	196243.694413
17 	 3773148 	 3773228 	 CAMKK1	139795.753583	173205.351388	199185.400397	190971.25184	158504.522411
17 	 3775794 	 3775894 	 CAMKK1	166308.741332	151280.623364	116763.855405	142063.980027	135861.019209
17 	 3775894 	 3775974 	 CAMKK1	101231.407767	127163.422538	121342.830127	139735.062322	133345.074409
17 	 3776639 	 3776739 	 CAMKK1	397694.816229	460419.288499	391502.338711	456467.870251	402551.168027
17 	 3776739 	 3776819 	 CAMKK1	378412.643321	462611.761301	384633.876629	393587.092207	377391.720026
17 	 3779496 	 3779596 	 CAMKK1	368771.556867	363950.485194	377765.414546	423863.022376	374875.775225
17 	 3779596 	 3779696 	 CAMKK1	556772.74272	473574.125313	464765.93426	558940.249287	533380.297636
17 	 3779696 	 3779736 	 CAMKK1	253078.519418	249941.899471	249554.122336	272483.371528	334620.658423
17 	 3783593 	 3783693 	 CAMKK1	192821.729081	212669.86183	192316.938314	225905.01742	181148.025612
17 	 3783693 	 3783773 	 CAMKK1	147026.568424	177590.296992	144237.703736	149050.733143	143408.85361
17 	 3784841 	 3784941 	 CAMKK1	144616.29681	142510.732154	130500.77957	181655.581018	173600.191212
17 	 3784941 	 3785021 	 CAMKK1	221744.988443	181975.242597	180869.50151	235220.688242	218887.197615
17 	 3785487 	 3785587 	 CAMKK1	212103.901989	199515.025016	212922.324562	167682.074786	221403.142415
17 	 3785587 	 3785687 	 CAMKK1	277181.235553	265289.209087	263291.046502	216589.346599	236498.811216
17 	 3785687 	 3785727 	 CAMKK1	195232.000694	206092.443423	174001.039427	160695.32167	168568.301611
17 	 3785749 	 3785849 	 CAMKK1	77128.6916323	74544.0752807	50368.7219395	65209.6957502	80510.2336055
17 	 3785849 	 3785929 	 CAMKK1	24102.7161351	19732.2552214	16026.4115262	13973.5062322	35223.2272024
17 	 3786282 	 3786382 	 CAMKK1	159077.926492	197322.552214	176290.526788	128090.473795	158504.522411
17 	 3786382 	 3786482 	 CAMKK1	221744.988443	291598.882716	251843.609697	249194.194474	306945.265621
17 	 3786482 	 3786522 	 CAMKK1	175949.827786	173205.351388	194606.425675	230562.852831	206307.473614
17 	 3786658 	 3786758 	 CAMKK1	380822.914934	405607.468439	446450.035373	414547.351555	327072.824022
17 	 3786758 	 3786838 	 CAMKK1	392874.273002	396837.57723	414397.21232	409889.516144	322040.934422
17 	 3787114 	 3787214 	 CAMKK1	416976.989137	355180.593985	400660.288155	386600.33909	319524.989622
17 	 3787214 	 3787294 	 CAMKK1	366361.285253	328870.920356	327396.692607	367968.997448	347200.382424
17 	 3787607 	 3787707 	 CAMKK1	265129.877486	291598.882716	240396.172893	288785.795465	231466.921616
17 	 3787707 	 3787787 	 CAMKK1	168719.012946	208284.916226	169422.064705	209602.593483	166052.356811
17 	 3788582 	 3788682 	 CAMKK1	154257.383265	160050.514573	112184.880683	135077.226911	130829.129609
17 	 3788682 	 3788782 	 CAMKK1	190411.457467	195130.079411	196895.913036	190971.25184	158504.522411
17 	 3788782 	 3788882 	 CAMKK1	301283.951689	337640.811566	267870.021224	288785.795465	327072.824022
17 	 3788882 	 3788982 	 CAMKK1	347079.112345	381490.267613	338844.129411	353995.491215	357264.161624
17 	 3788982 	 3789062 	 CAMKK1	226565.53167	238979.535459	247264.634976	246865.276769	289333.65202
17 	 3793915 	 3794015 	 CAMKK1	320566.124597	401222.522835	352581.053576	370297.915153	254110.424817
17 	 3794015 	 3794095 	 CAMKK1	245847.704578	359565.539589	297633.356915	307417.137108	246562.590417
17 	 7569482 	 7569582 	 TP53	98821.1361538	100853.748909	87000.5197136	93156.7082146	108185.626407
17 	 7569582 	 7569662 	 TP53	192821.729081	177590.296992	180869.50151	193300.169545	176116.136012
17 	 7572877 	 7572977 	 TP53	265129.877486	184167.715399	187737.963593	174668.827902	231466.921616
17 	 7572977 	 7573057 	 TP53	279591.507167	238979.535459	263291.046502	258509.865295	289333.65202
17 	 7573859 	 7573959 	 TP53	294053.136848	366142.957997	345712.591494	381942.50368	395003.333627
17 	 7573959 	 7574059 	 TP53	467592.693021	530578.418175	451029.010094	589216.179457	510736.794435
17 	 7574059 	 7574099 	 TP53	310925.038143	300368.773925	288475.407472	333035.231867	382423.609626
17 	 7576470 	 7576570 	 TP53	412156.44591	453841.870092	462476.446899	458796.787957	432742.505629
17 	 7576570 	 7576670 	 TP53	578465.187242	581005.292629	579240.302304	579900.508636	593762.97284
17 	 7576670 	 7576730 	 TP53	306104.494916	346410.702775	354870.540937	351666.57351	364811.996025
17 	 7576799 	 7576899 	 TP53	424207.803977	346410.702775	407528.750238	391258.174501	445322.22963
17 	 7576899 	 7576999 	 TP53	498926.223996	466996.706906	469344.908981	519348.648296	563571.635238
17 	 7576999 	 7577099 	 TP53	445900.248499	401222.522835	338844.129411	477428.1296	495641.125634
17 	 7577099 	 7577199 	 TP53	368771.556867	287213.937111	331975.667328	267825.536117	359780.106424
17 	 7577199 	 7577206 	 TP53	171129.284559	151280.623364	162553.602623	125761.55609	193727.749613
17 	 7577433 	 7577533 	 TP53	130154.667129	149088.150561	128211.29221	151379.650849	203791.528814
17 	 7577533 	 7577633 	 TP53	185590.91424	188552.661004	196895.913036	195629.087251	244046.645617
17 	 7577633 	 7577673 	 TP53	106051.950994	120586.004131	93868.9817963	109459.132152	128313.184809
17 	 7578112 	 7578212 	 TP53	330207.211051	328870.920356	313659.768441	270154.453822	294365.54162
17 	 7578212 	 7578312 	 TP53	342258.569118	359565.539589	329686.179967	314403.890224	415130.892028
17 	 7578312 	 7578412 	 TP53	269950.420713	326678.447554	293054.382193	326048.478751	377391.720026
17 	 7578412 	 7578512 	 TP53	255488.791032	300368.773925	297633.356915	319061.725635	377391.720026
17 	 7578512 	 7578582 	 TP53	149436.840038	168820.405783	178580.014149	151379.650849	161020.467211
17 	 7579300 	 7579400 	 TP53	98821.1361538	107431.167316	91579.4944354	86169.9550985	135861.019209
17 	 7579400 	 7579500 	 TP53	125334.123902	122778.476933	119053.342766	107130.214447	140892.90881
17 	 7579500 	 7579600 	 TP53	221744.988443	214862.334633	212922.324562	160695.32167	251594.480017
17 	 7579620 	 7579720 	 TP53	120513.580675	120586.004131	128211.29221	109459.132152	133345.074409
17 	 7579720 	 7579820 	 TP53	125334.123902	151280.623364	135079.754292	125761.55609	123281.295208
17 	 7579820 	 7579920 	 TP53	216924.445216	166627.93298	169422.064705	165353.157081	128313.184809
17 	 7579920 	 7579965 	 TP53	151847.111651	81121.4936879	112184.880683	111788.049857	75478.3440051
17 	 7826368 	 7826468 	 KCNAB3	226565.53167	267481.68189	164843.089984	204944.758072	236498.811216
17 	 7826468 	 7826548 	 KCNAB3	151847.111651	219247.280237	155685.14054	151379.650849	211339.363214
17 	 7826727 	 7826827 	 KCNAB3	318155.852983	331063.393159	366317.977742	328377.396456	324556.879222
17 	 7826827 	 7826907 	 KCNAB3	361540.742026	361758.012392	418976.187042	363311.162037	327072.824022
17 	 7826968 	 7827068 	 KCNAB3	279591.507167	269674.154692	274738.483306	307417.137108	244046.645617
17 	 7827068 	 7827168 	 KCNAB3	354309.927186	372720.376404	352581.053576	309746.054813	274237.983219
17 	 7827168 	 7827208 	 KCNAB3	149436.840038	162242.987376	153395.653179	137406.144616	145924.79841
17 	 7827242 	 7827342 	 KCNAB3	241027.161351	223632.225842	187737.963593	239878.523652	233982.866416
17 	 7827342 	 7827442 	 KCNAB3	436259.162045	383682.740416	370896.952463	430849.775492	369843.885625
17 	 7827442 	 7827542 	 KCNAB3	390464.001388	374912.849206	375475.927185	393587.092207	379907.664826
17 	 7827542 	 7827642 	 KCNAB3	330207.211051	322293.501949	315949.255802	312074.972519	379907.664826
17 	 7827685 	 7827785 	 KCNAB3	204873.087148	271866.627494	233527.71081	253852.029885	259142.314418
17 	 7827785 	 7827865 	 KCNAB3	200052.543921	278444.045902	228948.736089	260838.783001	191211.804813
17 	 7828367 	 7828467 	 KCNAB3	178360.0994	208284.916226	185448.476232	176997.745608	168568.301611
17 	 7828467 	 7828547 	 KCNAB3	154257.383265	151280.623364	148816.678458	111788.049857	140892.90881
17 	 7828932 	 7829032 	 KCNAB3	450720.791726	445071.978882	428134.136485	360982.244331	407583.057628
17 	 7829032 	 7829112 	 KCNAB3	390464.001388	423147.250858	389212.85135	365640.079742	374875.775225
17 	 7829180 	 7829280 	 KCNAB3;RP11-1099M24.7	298873.680075	317908.556344	290764.894832	295772.548581	296881.48642
17 	 7829280 	 7829380 	 KCNAB3;RP11-1099M24.7	479644.051088	526193.47257	515134.656199	505375.142064	470481.677632
17 	 7829380 	 7829480 	 KCNAB3;RP11-1099M24.7	431438.618818	469189.179708	418976.187042	412218.433849	387455.499226
17 	 7829480 	 7829488 	 KCNAB3;RP11-1099M24.7	279591.507167	285021.464309	242685.660254	251523.112179	254110.424817
17 	 7830611 	 7830711 	 KCNAB3;RP11-1099M24.7	424207.803977	399030.050032	460186.959538	428520.857787	397519.278427
17 	 7830711 	 7830791 	 KCNAB3;RP11-1099M24.7	363951.01364	328870.920356	336554.64205	367968.997448	296881.48642
17 	 7830903 	 7831003 	 KCNAB3;RP11-1099M24.7	508567.31045	440687.033277	464765.93426	519348.648296	435258.45043
17 	 7831003 	 7831103 	 KCNAB3;RP11-1099M24.7	559183.014334	537155.836582	560924.403417	568255.920109	548475.966437
17 	 7831103 	 7831203 	 KCNAB3;RP11-1099M24.7	363951.01364	407799.941242	398370.800794	395916.009912	395003.333627
17 	 7831203 	 7831212 	 KCNAB3;RP11-1099M24.7	134975.210356	166627.93298	162553.602623	153708.568554	181148.025612
17 	 7831556 	 7831656 	 KCNAB3;RP11-1099M24.7	106051.950994	135933.313747	103026.93124	95485.6259199	125797.240009
17 	 7831656 	 7831736 	 KCNAB3;RP11-1099M24.7	62667.0619512	89891.3848974	75553.0829092	72196.4488663	83026.1784056
