Chr	seg.Start	seg.End	log2Ratio	num.mark	pval
17	7578512	7579920	3.13463425864105	8	9.23661823963509e-08
17	7829280	29527606	0.320799696647612	39	0.0035575187574006
17	29527995	29556022	1.11219931097599	31	1.32476252201626e-14
17	29556122	29576149	0.252420918253593	30	0.0308726682317506
17	29579896	29657394	0.90272503196942	32	3.83757639458055e-11
17	29657494	29663500	0.341627140157762	9	0.0293499332125777
17	29663642	29665168	-0.399792102217366	11	0.0170025059632069
17	29665652	29679233	0.98413557644161	16	5.52137629935498e-07
17	29679333	29684216	-0.191062315444335	9	0.209341706614441
17	29684316	29705937	1.17204220253971	17	2.4035258616277e-07
17	33446501	41196296	0.75453477575568	7	0.0436759766820413
17	41196396	41196696	-2.84551860872736	4	0.0118320283984844
17	41196796	41197170	0.47437170001519	3	0.371696997429762
17	41198718	41199768	-0.210262764540589	12	0.628656993504668
17	41200587	41201492	0.0541416233602863	10	0.696410248058676
17	41201592	41202706	0.579134156273811	10	4.70613859023744e-05
17	41202806	41204149	-0.580570051932593	12	0.0159117965417076
17	41204249	41211802	0.760025299642905	56	9.24166357370764e-09
17	41211902	41212551	4.31655595755877	5	0.00270779637095979
17	41212789	41215249	0.776122665281787	17	0.00683819807160407
17	41215349	41262762	-0.0371982676222352	386	0.435573265671494
17	41263098	41275156	-1.63329416098656	89	3.24712822314022e-18
17	41275256	41276404	0.578255673918368	11	0.010708474267516
17	41276504	41277485	-0.773126550882596	9	0.00187050875665908
