chrom	maploc	tumour.brca.del.ch17
17	618874	3.99368688288813
17	618974	4.30302678945999
17	3765450	-Inf
17	3765550	-Inf
17	3769131	-Inf
17	3769231	-Inf
17	3769331	-Inf
17	3772724	-Inf
17	3772824	-Inf
17	3772924	-Inf
17	3773048	-Inf
17	3773148	-Inf
17	3775794	-Inf
17	3775894	-Inf
17	3776639	-Inf
17	3776739	-Inf
17	3779496	-Inf
17	3779596	-Inf
17	3779696	-Inf
17	3783593	-Inf
17	3783693	-Inf
17	3784841	-Inf
17	3784941	-Inf
17	3785487	-Inf
17	3785587	-Inf
17	3785687	-Inf
17	3785749	-Inf
17	3785849	-Inf
17	3786282	-Inf
17	3786382	-Inf
17	3786482	-Inf
17	3786658	-Inf
17	3786758	-Inf
17	3787114	-Inf
17	3787214	-Inf
17	3787607	-Inf
17	3787707	-Inf
17	3788582	-Inf
17	3788682	-Inf
17	3788782	-Inf
17	3788882	-Inf
17	3788982	-Inf
17	3793915	-Inf
17	3794015	-Inf
17	7569482	-Inf
17	7569582	-Inf
17	7572877	1.05658882828187
17	7572977	0.7339018103569
17	7573859	0.0170004375575605
17	7573959	0.902387740526416
17	7574059	2.41071130583695
17	7576470	1.53117139142349
17	7576570	1.0491155163665
17	7576670	1.67441773246183
17	7576799	1.46458454633144
17	7576899	0.974430536513748
17	7576999	0.747798687183683
17	7577099	1.23552342493645
17	7577199	2.08102045047831
17	7577433	2.76779649649606
17	7577533	2.87016982810794
17	7577633	2.71000612139104
17	7578112	2.36774076568295
17	7578212	2.48287974204767
17	7578312	2.04815497989093
17	7578412	1.851706468086
17	7578512	3.21184581716187
17	7579300	3.75395612232706
17	7579400	2.82490179435431
17	7579500	2.58377011141592
17	7579620	2.92431943418452
17	7579720	3.14749189282166
17	7579820	2.99258665543246
17	7579920	3.63820224143061
17	7826368	2.13938636388769
17	7826468	2.544655095297
17	7826727	1.88133497659897
17	7826827	1.98553290996595
17	7826968	1.93227675276166
17	7827068	2.14948734995443
17	7827168	3.21347674534677
17	7827242	2.5339514621374
17	7827342	1.57985305127055
17	7827442	1.61212630027127
17	7827542	1.70550830022967
17	7827685	2.09385280260685
17	7827785	2.42315249138326
17	7828367	2.42393932299412
17	7828467	2.50268049486543
17	7828932	1.45544283506852
17	7829032	1.37520799901613
17	7829180	1.45126087668395
17	7829280	0.523650595727367
17	7829380	-0.187075718727258
17	7829480	-0.953021253013101
17	7830611	-0.388728261971946
17	7830711	0.0409060303158441
17	7830903	0.201708603428356
17	7831003	-0.53385505591069
17	7831103	0.361265278921798
17	7831203	-0.798873125525528
17	7831556	1.15943903722629
17	7831656	1.22940392792375
17	7832420	0.55316560231987
17	7832520	0.507765666896054
17	7832620	-1.56773436715169
17	7832720	-0.192428181919006
17	8044371	-Inf
17	8044471	-Inf
17	8044571	-Inf
17	8045077	-Inf
17	8045177	-Inf
17	8045277	-Inf
17	8045561	-Inf
17	8045661	-Inf
17	8045761	-Inf
17	8045939	-Inf
17	8046039	-Inf
17	8046139	-Inf
17	8046558	-Inf
17	8046658	-Inf
17	8046758	-Inf
17	8046858	-Inf
17	8046958	-Inf
17	8047058	-Inf
17	8047158	-Inf
17	8047367	-Inf
17	8047467	-Inf
17	8047567	-Inf
17	8047866	-Inf
17	8047966	-Inf
17	8048066	-Inf
17	8048166	-Inf
17	8048266	-Inf
17	8049245	-Inf
17	8049345	-Inf
17	8049445	-Inf
17	8049634	-Inf
17	8049734	-Inf
17	8049834	-Inf
17	8049877	-Inf
17	8049977	-Inf
17	8050077	-Inf
17	8050147	-Inf
17	8050247	-Inf
17	8050347	-Inf
17	8050513	-Inf
17	8050613	-Inf
17	8050713	-Inf
17	8050813	-Inf
17	8050913	-Inf
17	8051013	-Inf
17	8051113	-Inf
17	8051247	-Inf
17	8051347	-Inf
17	8051447	-Inf
17	8051547	-Inf
17	8051912	-Inf
17	8052012	-Inf
17	8052112	-Inf
17	8052512	-Inf
