Chr	Start	End	ID	tumour-brca-del-ch17
17	618874	618974	 VPS53	19.1613598094772
17	618974	619054	 VPS53	21.4786018078585
17	3765450	3765550	 CAMKK1	0
17	3765550	3765630	 CAMKK1	0
17	3769131	3769231	 CAMKK1	0
17	3769231	3769331	 CAMKK1	0
17	3769331	3769371	 CAMKK1	0
17	3772724	3772824	 CAMKK1	0
17	3772824	3772924	 CAMKK1	0
17	3772924	3772964	 CAMKK1	0
17	3773048	3773148	 CAMKK1	0
17	3773148	3773228	 CAMKK1	0
17	3775794	3775894	 CAMKK1	0
17	3775894	3775974	 CAMKK1	0
17	3776639	3776739	 CAMKK1	0
17	3776739	3776819	 CAMKK1	0
17	3779496	3779596	 CAMKK1	0
17	3779596	3779696	 CAMKK1	0
17	3779696	3779736	 CAMKK1	0
17	3783593	3783693	 CAMKK1	0
17	3783693	3783773	 CAMKK1	0
17	3784841	3784941	 CAMKK1	0
17	3784941	3785021	 CAMKK1	0
17	3785487	3785587	 CAMKK1	0
17	3785587	3785687	 CAMKK1	0
17	3785687	3785727	 CAMKK1	0
17	3785749	3785849	 CAMKK1	0
17	3785849	3785929	 CAMKK1	0
17	3786282	3786382	 CAMKK1	0
17	3786382	3786482	 CAMKK1	0
17	3786482	3786522	 CAMKK1	0
17	3786658	3786758	 CAMKK1	0
17	3786758	3786838	 CAMKK1	0
17	3787114	3787214	 CAMKK1	0
17	3787214	3787294	 CAMKK1	0
17	3787607	3787707	 CAMKK1	0
17	3787707	3787787	 CAMKK1	0
17	3788582	3788682	 CAMKK1	0
17	3788682	3788782	 CAMKK1	0
17	3788782	3788882	 CAMKK1	0
17	3788882	3788982	 CAMKK1	0
17	3788982	3789062	 CAMKK1	0
17	3793915	3794015	 CAMKK1	0
17	3794015	3794095	 CAMKK1	0
17	7569482	7569582	 TP53	0
17	7569582	7569662	 TP53	0
17	7572877	7572977	 TP53	3.70921753465842
17	7572977	7573057	 TP53	6.56823428103505
17	7573859	7573959	 TP53	4.06453785934318
17	7573959	7574059	 TP53	5.96394600043067
17	7574059	7574099	 TP53	7.34612394786653
17	7576470	7576570	 TP53	1.19311255870671
17	7576570	7576670	 TP53	1.17419947736243
17	7576670	7576730	 TP53	0.506827195003324
17	7576799	7576899	 TP53	3.33364003746711
17	7576899	7576999	 TP53	6.06739556993498
17	7576999	7577099	 TP53	3.53614497371463
17	7577099	7577199	 TP53	2.16991751825701
17	7577199	7577206	 TP53	2.65075589403767
17	7577433	7577533	 TP53	8.4767006672019
17	7577533	7577633	 TP53	10.1696427771326
17	7577633	7577673	 TP53	0.243540043658742
17	7578112	7578212	 TP53	9.14343374922908
17	7578212	7578312	 TP53	4.47901620491295
17	7578312	7578412	 TP53	7.42762807670869
17	7578412	7578512	 TP53	5.40783162282557
17	7578512	7578582	 TP53	6.92633667340809
17	7579300	7579400	 TP53	8.45585541343929
17	7579400	7579500	 TP53	6.56419296617111
17	7579500	7579600	 TP53	0.848194930789959
17	7579620	7579720	 TP53	0.270391581140549
17	7579720	7579820	 TP53	0.759011172023774
17	7579820	7579920	 TP53	5.55751775866709
17	7579920	7579965	 TP53	9.13064299182193
17	7826368	7826468	 KCNAB3	3.34407034037349
17	7826468	7826548	 KCNAB3	5.8249660598486
17	7826727	7826827	 KCNAB3	7.06569700949371
17	7826827	7826907	 KCNAB3	8.85641859728683
17	7826968	7827068	 KCNAB3	5.23955438991435
17	7827068	7827168	 KCNAB3	7.70645679974901
17	7827168	7827208	 KCNAB3	6.57089625711675
17	7827242	7827342	 KCNAB3	4.97337006913635
17	7827342	7827442	 KCNAB3	3.51395042755615
17	7827442	7827542	 KCNAB3	4.93018934329809
17	7827542	7827642	 KCNAB3	3.19336608943451
17	7827685	7827785	 KCNAB3	6.12354716967439
17	7827785	7827865	 KCNAB3	11.9931092612845
17	7828367	7828467	 KCNAB3	1.10804298804619
17	7828467	7828547	 KCNAB3	2.66379787536001
17	7828932	7829032	 KCNAB3	4.50755020363274
17	7829032	7829112	 KCNAB3	3.98959415589072
17	7829180	7829280	 KCNAB3;RP11-1099M24.7	4.36214535834874
17	7829280	7829380	 KCNAB3;RP11-1099M24.7	4.14723722676628
17	7829380	7829480	 KCNAB3;RP11-1099M24.7	0.725766514683819
17	7829480	7829488	 KCNAB3;RP11-1099M24.7	0
17	7830611	7830711	 KCNAB3;RP11-1099M24.7	1.30191079030934
17	7830711	7830791	 KCNAB3;RP11-1099M24.7	1.25885299754649
17	7830903	7831003	 KCNAB3;RP11-1099M24.7	1.76257582138045
17	7831003	7831103	 KCNAB3;RP11-1099M24.7	1.54755433564481
17	7831103	7831203	 KCNAB3;RP11-1099M24.7	5.28133622484268
17	7831203	7831212	 KCNAB3;RP11-1099M24.7	1.4747768399872
17	7831556	7831656	 KCNAB3;RP11-1099M24.7	0
17	7831656	7831736	 KCNAB3;RP11-1099M24.7	0
17	7832420	7832520	 KCNAB3;RP11-1099M24.7	1.63612677888261
17	7832520	7832620	 KCNAB3;RP11-1099M24.7	6.01336537064248
17	7832620	7832720	 KCNAB3;RP11-1099M24.7	4.93715097277723
17	7832720	7832780	 KCNAB3;RP11-1099M24.7	3.03594278335422
17	8044371	8044471	 PER1	0
17	8044471	8044571	 PER1	0
17	8044571	8044671	 PER1	0
17	8045077	8045177	 PER1	0
17	8045177	8045277	 PER1	0
17	8045277	8045317	 PER1	0
17	8045561	8045661	 PER1	0
17	8045661	8045761	 PER1	0
17	8045761	8045801	 PER1	0
17	8045939	8046039	 PER1	0
17	8046039	8046139	 PER1	0
17	8046139	8046179	 PER1	0
17	8046558	8046658	 PER1	0
17	8046658	8046758	 PER1	0
17	8046758	8046858	 PER1	0
17	8046858	8046958	 PER1	0
17	8046958	8047058	 PER1	0
17	8047058	8047158	 PER1	0
17	8047158	8047218	 PER1	0
17	8047367	8047467	 PER1	0
17	8047467	8047567	 PER1	0
17	8047567	8047607	 PER1	0
17	8047866	8047966	 PER1	0
17	8047966	8048066	 PER1	0
17	8048066	8048166	 PER1	0
17	8048166	8048266	 PER1	0
17	8048266	8048346	 PER1	0
17	8049245	8049345	 PER1	0
17	8049345	8049445	 PER1	0
17	8049445	8049485	 PER1	0
17	8049634	8049734	 PER1	0
17	8049734	8049834	 PER1	0
17	8049834	8049874	 PER1	0
17	8049877	8049977	 PER1	0
17	8049977	8050077	 PER1	0
17	8050077	8050117	 PER1	0
17	8050147	8050247	 PER1	0
17	8050247	8050347	 PER1	0
17	8050347	8050387	 PER1	0
17	8050513	8050613	 PER1	0
17	8050613	8050713	 PER1	0
17	8050713	8050813	 PER1	0
17	8050813	8050913	 PER1	0
17	8050913	8051013	 PER1	0
17	8051013	8051113	 PER1	0
17	8051113	8051188	 PER1	0
17	8051247	8051347	 PER1	0
17	8051347	8051447	 PER1	0
17	8051447	8051547	 PER1	0
17	8051547	8051627	 PER1	0
17	8051912	8052012	 PER1	0
17	8052012	8052112	 PER1	0
17	8052112	8052152	 PER1	0
17	8052512	8052612	 PER1	0
17	8052612	8052692	 PER1	0
17	8052760	8052860	 PER1	0
17	8052860	8052960	 PER1	0
17	8052960	8053000	 PER1	0
17	8053013	8053113	 PER1	0
17	8053113	8053213	 PER1	0
17	8053213	8053313	 PER1	0
17	8053313	8053413	 PER1	0
17	8053413	8053485	 PER1	0
17	8053495	8053595	 PER1	0
17	8053595	8053675	 PER1	0
17	8053736	8053836	 PER1	0
17	8053836	8053936	 PER1	0
17	8053936	8054036	 PER1	0
17	8055612	8055712	 PER1;RP11-599B13.6	0
17	8055712	8055792	 PER1;RP11-599B13.6	0
17	8059558	8059658	 PER1;RP11-599B13.6	0
17	8059658	8059738	 PER1;RP11-599B13.6	0
17	11924140	11924240	 RPL21P122;MAP2K4	0
17	11924240	11924340	 RPL21P122;MAP2K4	0
17	11924340	11924380	 RPL21P122;MAP2K4	0
17	11935508	11935608	 MAP2K4	0
17	11935608	11935688	 MAP2K4	0
17	11958136	11958236	 MAP2K4	0
17	11958236	11958336	 MAP2K4	0
17	11958336	11958376	 MAP2K4	0
17	11984639	11984739	 MAP2K4	0
17	11984739	11984839	 MAP2K4	0
17	11984839	11984879	 MAP2K4	0
17	11998831	11998931	 MAP2K4	0
17	11998931	11999031	 MAP2K4	0
17	11999031	11999071	 MAP2K4	0
17	12011046	12011146	 MAP2K4	0
17	12011146	12011246	 MAP2K4	0
17	12011246	12011286	 MAP2K4	0
17	12013627	12013727	 MAP2K4	0
17	12013727	12013807	 MAP2K4	0
17	12016493	12016593	 MAP2K4	0
17	12016593	12016693	 MAP2K4	0
17	12016693	12016733	 MAP2K4	0
17	12028559	12028659	 MAP2K4	0
17	12028659	12028739	 MAP2K4	0
17	12032409	12032509	 MAP2K4	0
17	12032509	12032609	 MAP2K4	0
17	12032609	12032649	 MAP2K4	0
17	12043088	12043188	 MAP2K4	0
17	12043188	12043268	 MAP2K4	0
17	12044400	12044500	 MAP2K4	0
17	12044500	12044600	 MAP2K4	0
17	12044600	12044640	 MAP2K4	0
17	15935583	15935683	 TTC19;NCOR1	0
17	15935683	15935783	 TTC19;NCOR1	0
17	15935783	15935823	 TTC19;NCOR1	0
17	15938048	15938148	 TTC19;NCOR1	0
17	15938148	15938248	 TTC19;NCOR1	0
17	15938248	15938288	 TTC19;NCOR1	0
17	15942577	15942677	 TTC19;NCOR1	0
17	15942677	15942777	 TTC19;NCOR1	0
17	15942777	15942877	 TTC19;NCOR1	0
17	15942877	15942977	 TTC19;NCOR1	0
17	15942977	15942997	 TTC19;NCOR1	0
17	15943691	15943791	 TTC19;NCOR1;AC002553.1	0
17	15943791	15943871	 TTC19;NCOR1;AC002553.1	0
17	15950215	15950315	 NCOR1	0
17	15950315	15950415	 NCOR1	0
17	15950415	15950455	 NCOR1	0
17	15952110	15952210	 NCOR1	0
17	15952210	15952310	 NCOR1	0
17	15952310	15952350	 NCOR1	0
17	15960789	15960889	 NCOR1	0
17	15960889	15960989	 NCOR1	0
17	15960989	15961089	 NCOR1	0
17	15961179	15961279	 NCOR1	0
17	15961279	15961379	 NCOR1	0
17	15961379	15961419	 NCOR1	0
17	15961728	15961828	 NCOR1	0
17	15961828	15961928	 NCOR1	0
17	15961928	15961968	 NCOR1	0
17	15964691	15964791	 NCOR1	0
17	15964791	15964891	 NCOR1	0
17	15964891	15964991	 NCOR1	0
17	15964991	15965091	 NCOR1	0
17	15965091	15965191	 NCOR1	0
17	15965191	15965231	 NCOR1	0
17	15965381	15965481	 NCOR1	0
17	15965481	15965581	 NCOR1	0
17	15965581	15965621	 NCOR1	0
17	15967321	15967421	 NCOR1	0
17	15967421	15967521	 NCOR1	0
17	15967521	15967561	 NCOR1	0
17	15968138	15968238	 NCOR1	0
17	15968238	15968338	 NCOR1	0
17	15968338	15968378	 NCOR1	0
17	15968783	15968883	 NCOR1	0
17	15968883	15968983	 NCOR1	0
17	15968983	15969023	 NCOR1	0
17	15971171	15971271	 NCOR1	0
17	15971271	15971371	 NCOR1	0
17	15971371	15971471	 NCOR1	0
17	15973448	15973548	 NCOR1	0
17	15973548	15973648	 NCOR1	0
17	15973648	15973748	 NCOR1	0
17	15973748	15973848	 NCOR1	0
17	15973848	15973868	 NCOR1	0
17	15974700	15974800	 NCOR1	0
17	15974800	15974900	 NCOR1	0
17	15974900	15975000	 NCOR1	0
17	15975410	15975510	 NCOR1	0
17	15975510	15975590	 NCOR1	0
17	15976692	15976792	 NCOR1	0
17	15976792	15976892	 NCOR1	0
17	15976892	15976932	 NCOR1	0
17	15978811	15978911	 NCOR1	0
17	15978911	15979011	 NCOR1	0
17	15979011	15979051	 NCOR1	0
17	15983207	15983307	 NCOR1	0
17	15983307	15983407	 NCOR1	0
17	15983407	15983447	 NCOR1	0
17	15983652	15983752	 NCOR1	0
17	15983752	15983852	 NCOR1	0
17	15983852	15983952	 NCOR1	0
17	15983952	15984052	 NCOR1	0
