Chr	loc	tumour-brca-del-ch17
17	618874	2
17	618974	2
17	3765450	2
17	3765550	2
17	3769131	2
17	3769231	2
17	3769331	2
17	3772724	2
17	3772824	2
17	3772924	2
17	3773048	2
17	3773148	2
17	3775794	2
17	3775894	2
17	3776639	2
17	3776739	2
17	3779496	2
17	3779596	2
17	3779696	2
17	3783593	2
17	3783693	2
17	3784841	2
17	3784941	2
17	3785487	2
17	3785587	2
17	3785687	2
17	3785749	2
17	3785849	2
17	3786282	2
17	3786382	2
17	3786482	2
17	3786658	2
17	3786758	2
17	3787114	2
17	3787214	2
17	3787607	2
17	3787707	2
17	3788582	2
17	3788682	2
17	3788782	2
17	3788882	2
17	3788982	2
17	3793915	2
17	3794015	2
17	7569482	2
17	7569582	2
17	7572877	2
17	7572977	2
17	7573859	2
17	7573959	2
17	7574059	2
17	7576470	2
17	7576570	2
17	7576670	2
17	7576799	2
17	7576899	2
17	7576999	2
17	7577099	2
17	7577199	2
17	7577433	2
17	7577533	2
17	7577633	2
17	7578112	2
17	7578212	2
17	7578312	2
17	7578412	2
17	7578512	3
17	7579300	3
17	7579400	3
17	7579500	3
17	7579620	3
17	7579720	3
17	7579820	3
17	7579920	3
17	7826368	2
17	7826468	2
17	7826727	2
17	7826827	2
17	7826968	2
17	7827068	2
17	7827168	2
17	7827242	2
17	7827342	2
17	7827442	2
17	7827542	2
17	7827685	2
17	7827785	2
17	7828367	2
17	7828467	2
17	7828932	2
17	7829032	2
17	7829180	2
17	7829280	3
17	7829380	3
17	7829480	3
17	7830611	3
17	7830711	3
17	7830903	3
17	7831003	3
17	7831103	3
17	7831203	3
17	7831556	3
17	7831656	3
17	7832420	3
17	7832520	3
17	7832620	3
17	7832720	3
17	8044371	3
17	8044471	3
17	8044571	3
17	8045077	3
17	8045177	3
17	8045277	3
17	8045561	3
17	8045661	3
17	8045761	3
17	8045939	3
17	8046039	3
17	8046139	3
17	8046558	3
17	8046658	3
17	8046758	3
17	8046858	3
17	8046958	3
17	8047058	3
17	8047158	3
17	8047367	3
17	8047467	3
17	8047567	3
17	8047866	3
17	8047966	3
17	8048066	3
17	8048166	3
17	8048266	3
17	8049245	3
17	8049345	3
17	8049445	3
17	8049634	3
17	8049734	3
17	8049834	3
17	8049877	3
17	8049977	3
17	8050077	3
17	8050147	3
17	8050247	3
17	8050347	3
17	8050513	3
17	8050613	3
17	8050713	3
17	8050813	3
17	8050913	3
17	8051013	3
17	8051113	3
17	8051247	3
17	8051347	3
17	8051447	3
17	8051547	3
17	8051912	3
17	8052012	3
17	8052112	3
17	8052512	3
17	8052612	3
17	8052760	3
17	8052860	3
17	8052960	3
17	8053013	3
17	8053113	3
17	8053213	3
17	8053313	3
17	8053413	3
17	8053495	3
17	8053595	3
17	8053736	3
17	8053836	3
17	8053936	3
17	8055612	3
17	8055712	3
17	8059558	3
17	8059658	3
17	11924140	3
17	11924240	3
17	11924340	3
17	11935508	3
17	11935608	3
17	11958136	3
17	11958236	3
17	11958336	3
17	11984639	3
17	11984739	3
17	11984839	3
17	11998831	3
17	11998931	3
17	11999031	3
17	12011046	3
17	12011146	3
17	12011246	3
17	12013627	3
17	12013727	3
17	12016493	3
17	12016593	3
17	12016693	3
17	12028559	3
17	12028659	3
17	12032409	3
17	12032509	3
17	12032609	3
17	12043088	3
17	12043188	3
17	12044400	3
17	12044500	3
17	12044600	3
17	15935583	3
17	15935683	3
17	15935783	3
17	15938048	3
17	15938148	3
17	15938248	3
17	15942577	3
17	15942677	3
17	15942777	3
17	15942877	3
17	15942977	3
17	15943691	3
17	15943791	3
17	15950215	3
17	15950315	3
17	15950415	3
17	15952110	3
17	15952210	3
17	15952310	3
17	15960789	3
17	15960889	3
17	15960989	3
17	15961179	3
17	15961279	3
17	15961379	3
17	15961728	3
17	15961828	3
17	15961928	3
17	15964691	3
17	15964791	3
17	15964891	3
17	15964991	3
17	15965091	3
17	15965191	3
17	15965381	3
17	15965481	3
17	15965581	3
17	15967321	3
17	15967421	3
17	15967521	3
17	15968138	3
17	15968238	3
17	15968338	3
17	15968783	3
17	15968883	3
17	15968983	3
17	15971171	3
17	15971271	3
17	15971371	3
17	15973448	3
17	15973548	3
17	15973648	3
17	15973748	3
17	15973848	3
17	15974700	3
17	15974800	3
17	15974900	3
17	15975410	3
17	15975510	3
17	15976692	3
17	15976792	3
17	15976892	3
17	15978811	3
17	15978911	3
17	15979011	3
17	15983207	3
17	15983307	3
17	15983407	3
17	15983652	3
17	15983752	3
17	15983852	3
17	15983952	3
17	15984052	3
17	15989555	3
17	15989655	3
17	15989755	3
17	15990452	3
17	15990552	3
17	15990652	3
17	15995150	3
17	15995250	3
17	15995350	3
17	16001625	3
17	16001725	3
17	16001825	3
17	16004541	3
17	16004641	3
17	16004741	3
17	16004841	3
17	16004941	3
17	16005041	3
17	16012042	3
17	16012142	3
17	16012242	3
17	16021151	3
17	16021251	3
17	16021351	3
17	16022677	3
17	16022777	3
17	16024354	3
17	16024454	3
17	16024554	3
17	16029339	3
17	16029439	3
17	16029539	3
17	16040555	3
17	16040655	3
17	16040755	3
17	16041408	3
17	16041508	3
17	16042290	3
17	16042390	3
17	16042490	3
17	16046874	3
